"participantID","videoID","order","condition","comprehensionCheckQ1Correct","comprehensionCheckQ2Correct","accuracy","IRI_EC","IRI_PT","IRI_PD","LT_Empathy","SPS","SIAS","gender","age"
"c2ec83b6","121_5",1,"both",FALSE,TRUE,-0.594826069759263,22,17,14,13,31,47,"F",55
"28d6193e","173_4",1,"both",TRUE,TRUE,0.172657697313752,23,27,1,14,0,4,"M",26
"0f443fd4","167_2",1,"both",TRUE,TRUE,-0.0136755490149418,27,20,21,12,37,20,"F",36
"0d6a6af4","116_5",1,"both",FALSE,TRUE,0.261671912983755,20,20,8,12,45,42,"F",33
"d1e734ed","129_5",1,"both",TRUE,TRUE,0.879998478330178,28,23,17,13,4,4,"F",44
"c83d5a40","129_5",1,"both",TRUE,TRUE,0.47267889922208,20,19,4,12,47,59,"M",42
"66af7e27","124_3",1,"both",TRUE,TRUE,0.508653134660252,22,19,8,12,15,20,"M",44
"7dedce6d","181_2",1,"both",TRUE,TRUE,0.550522168478741,21,18,12,12,33,43,"F",41
"ca117a85","181_2",1,"both",TRUE,TRUE,0.503376851566959,25,23,17,11,39,40,"M",23
"73ad64f2","129_2",1,"both",TRUE,TRUE,-0.0157128725418192,26,21,23,12,20,44,"F",43
"6f37f30d","174_2",1,"both",TRUE,TRUE,0.82451325591767,25,23,4,12,4,10,"F",41
"243ee77b","135_3",1,"both",TRUE,TRUE,0.653247328597124,25,22,11,13,3,17,"F",26
"568a1baf","171_1",1,"both",FALSE,TRUE,-0.00897280499807088,23,21,3,12,10,11,"F",35
"93fb2e67","178_6",1,"both",TRUE,TRUE,0.774209995746296,27,24,17,10,53,26,"M",31
"393e2002","178_6",1,"both",TRUE,TRUE,0.400114181734163,26,24,0,12,0,4,"F",31
"1a9f2091","137_6",1,"both",FALSE,TRUE,0.658994743874369,18,11,8,10,8,37,"M",43
"bf2542f4","147_5",1,"both",TRUE,TRUE,-0.272078274749014,27,18,13,12,44,44,"F",27
"a6c8e748","181_4",1,"both",TRUE,TRUE,0.751948812186595,28,28,4,12,4,4,"F",53
"84bb608e","151_2",1,"both",TRUE,TRUE,0.937194866869613,24,24,18,12,42,65,"F",27
