"participantID","videoID","order","condition","accuracy","IRI_EC","IRI_PT","IRI_PD","gender","age"
"69a3ebe6","HID117_vid4",2,"audioOnly",0.157576752893242,19,23,6,"M",23
"74bed593","HID101_vid2",2,"audioOnly",0.556661866765892,22,11,11,"M",39
"d585580f","HID120_vid8",2,"audioOnly",0.528170287459317,21,20,22,"M",27
"b17ac6c6","HID117_vid4",2,NA,NA,15,20,6,"M",31
"4c5528cb","HID117_vid4",2,"audioOnly",0.802925190874532,15,24,5,"F",21
"f2ef6fa8","HID120_vid8",2,"audioOnly",0.799741915905795,24,24,16,"M",35
"e3db2aea","HID117_vid4",2,NA,NA,10,19,20,"F",34
"1903464d","HID120_vid8",2,"audioOnly",-0.17444133700658,10,19,14,"F",25
"938b8dc4","HID117_vid4",2,NA,NA,13,15,11,"M",22
"ecbd01ae","HID120_vid8",2,"audioOnly",0.736752332102746,18,21,5,"M",34
"e61cc3b6","HID120_vid8",2,"audioOnly",0.664964212055477,19,19,12,"F",23
"6271e70f","HID120_vid8",2,"audioOnly",0.159917685444264,26,27,5,"F",27
"2705bf5b","HID117_vid4",2,"audioOnly",-0.302943482951507,21,25,14,"F",21
"1615c04f","HID117_vid4",2,NA,NA,13,12,15,"M",38
"d049e5b2","HID101_vid2",2,"audioOnly",-0.47961003752285,1,24,0,"M",28
"380872f4","HID117_vid4",2,NA,NA,26,28,9,"F",27
"d9a1dbda","HID120_vid8",2,NA,NA,13,12,14,"M",58
"4621e208","HID101_vid2",2,NA,NA,20,16,14,"M",32
"6940b02e","HID120_vid8",2,"audioOnly",-0.190064419196481,21,21,6,"M",40
"8e3576dc","HID120_vid8",2,NA,NA,13,15,17,"M",58
"305b63ff","HID117_vid4",2,NA,NA,19,21,19,"F",20
"5cce9193","HID117_vid4",2,NA,NA,15,12,20,"F",26
"3134c82c","HID101_vid2",2,"audioOnly",0.683294066269354,11,13,24,"M",35
"a930edea","HID101_vid2",2,"audioOnly",-0.572020349099912,20,27,15,"M",30
"951bf361","HID120_vid8",2,"audioOnly",0.871736198182391,20,15,2,"M",41
"12dc76c0","HID101_vid2",2,NA,NA,13,18,18,"F",37
"e4fefb1d","HID117_vid4",2,NA,NA,13,15,14,"M",32
"0fb3f9a6","HID101_vid2",2,"audioOnly",-0.0102883469345465,19,27,2,"M",39
"92fda9dc","HID117_vid4",2,"audioOnly",-0.590698044941533,14,16,13,"M",32
"6231b4c1","HID120_vid8",2,NA,NA,19,14,16,"F",27
"5456a6f3","HID120_vid8",2,"audioOnly",0.296478629960357,25,13,15,"M",35
"73ec1029","HID101_vid2",2,"audioOnly",-0.0926771185598276,5,6,7,"M",36
"2051b525","HID117_vid4",2,"audioOnly",0.212315316545717,28,28,0,"M",27
"743d1796","HID117_vid4",2,NA,NA,17,17,16,"M",29
"7eb4c0a8","HID101_vid2",2,"audioOnly",0.472158485591273,25,9,9,"M",46
"7e1d2a38","HID101_vid2",2,NA,NA,14,18,20,"M",27
"97e10989","HID101_vid2",2,"audioOnly",-0.77659178000762,15,20,20,"F",29
"de11926c","HID117_vid4",2,"audioOnly",0.591758956066629,28,28,2,"M",24
"68bc3e3d","HID101_vid2",2,NA,NA,14,18,20,"F",26
"b48ff8a7","HID117_vid4",2,NA,NA,14,20,20,"M",27
"51990a60","HID101_vid2",2,NA,NA,0,11,3,"M",20
"314f4c01","HID101_vid2",2,NA,NA,14,20,17,"M",27
"8ed4687a","HID120_vid8",2,"audioOnly",0.42148128622989,14,24,10,"M",19
"1360931e","HID120_vid8",2,NA,NA,14,18,18,"M",22
"148bd818","HID117_vid4",2,"audioOnly",0.0447840869120012,18,17,18,"F",40
"d6681b24","HID101_vid2",2,NA,NA,18,19,18,"M",27
"709f9b25","HID101_vid2",2,"audioOnly",0.0129831197491045,25,23,16,"M",28
"d9303e94","HID120_vid8",2,NA,NA,11,9,12,"M",22
"69f2ab8c","HID120_vid8",2,"audioOnly",0.656448123673436,22,23,13,"M",32
